kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f
OEPAT,Onagraceae,Oenothera,pallida,subsp. trichocalyx,pale evening primrose,C3,bp,H,y,C3,p,f
OPEN3,Cactaceae,Opuntia,engelmannii,,cactus apple,CAM,p,S/su,y,CAM,p,s
OPFR,Cactaceae,Opuntia,fragilis,,brittle pricklypear,CAM,p,S/su,y,CAM,p,s
OPMA8,Cactaceae,Opuntia,macrocenta ,,purple pricklypear,CAM,p,T/S/su,y,CAM,p,s
OPPH,Cactaceae,Opuntia,phaeacantha,,tulip pricklypear,CAM,p,S/su,y,CAM,p,s
OPPO,Cactaceae,Opuntia,polyacantha,,plains pricklypear,CAM,p,S/su,y,CAM,p,s
OPPOE,Cactaceae,Opuntia,polyacantha,var. erinacea,grizzlybear pricklypear,CAM,p,S/su,y,CAM,p,s
OPPOP,Cactaceae,Opuntia,polyacantha,var. polyacantha,hairspine pricklypear,CAM,p,S/su,y,CAM,p,s
OPUNT,Cactaceae,Opuntia,sp,,prickly pear cactus,CAM,p,S/su,y,CAM,p,s
ORLUM,Orobanchaceae,Orobanche,ludoviciana,subsp. multiflora,manyflowered broomrape,,a,H/rp,y,C3,a,f
OXVI,Oxalidaceae,Oxalis,violacea,,violet woodsorrel,C3,p,H,y,C3,p,f
PACA6,Poaceae,Panicum,capillare,,witchgrass,C4,a,G,y,C4,a,g
PACO11,Asteraceae,Parthenium,confertum,,Gray's feverfew,,abp,ss/H,y,NA,p,f
PAFI4,Fabaceae,Parryella,filifolia,,common dunebroom,,p,S,y,C3,p,s
PAHA,Poaceae,Panicum,hallii,,Hall's panicgrass,,p,G,y,C4,p,g
PAIN2,Asteraceae,Parthenium,incanum,,mariola,C3,p,S,y,C3,p,s
PAJA,Caryophyllaceae,Paronychia,jamesii,,James' nailwort,,p,ss/H,y,C3,p,f
PAOB,Poaceae,Panicum,obtusum,,vine mesquite,C4,p,G,y,C4,p,g
PAQU2,Vitaceae,Parthenocissus,quinquefolia,,Virginia creeper,C3,p,WV,y,C3,p,s
PASM,Poaceae,Pascopyrum,smithii,,western wheatgrass,,p,G,y,C3,p,g
PASP,Asteraceae,Palafoxia,sphacelata,,othake,,a,H,y,C3,a,f
PEAM,Scrophulariaceae,Penstemon,ambiguus,,Gilia beardtongue,C3,p,H,y,C3,p,f
PEAML2,Scrophulariaceae,Penstemon,ambiguus,var. laevissimus,pink plains beardtongue,C3,p,ss/H,y,C3,p,f
PEAN,Asteraceae,Pectis,angustifolia,,lemonscent,C4,a,H,y,C4,a,f
PEBA2,Scrophulariaceae,Penstemon,barbatus,,beardlip penstemon,C3,p,H,y,C3,p,f
PEBAT,Scrophulariaceae,Penstemon,barbatus,var. torreyi,Torrey's penstemon,C3,p,H,y,C3,p,f
PECA10,Asteraceae,Pericome,caudata,,mountian tail-leaf,,p,H,y,C3,p,f
PECA12,Rosaceae,Petrophyton,caespitosum,,mat rockspirea,,p,ss/H,y,C3,p,f
PEFE,Scrophulariaceae,Penstemon,fendleri,,Fendler's penstemon,C3,p,H,y,C3,p,f
PEHY4,Fabaceae,Pediomelum,hypogaeum,,subterranean Indian breadroot,,p,H,y,C3,p,f
PEJA,Scrophulariaceae,Penstemon,jamesii,,James' beardtongue,C3,p,ss/H,y,C3,p,f
PEOP,Scrophulariaceae,Penstemon,ophianthus,,coiled anther penstemon,,p,H,y,C3,p,f
PEVI4,Scrophulariaceae,Penstemon,virgatus,,upright blue beardtongue,C3,p,H,y,C3,p,f
PHAN3,Fabaceae,Phaseolus,angustissimus,,slimleaf bean,,p,V/H,y,C3,p,f
PHCO,Hydrophyllaceae,Phacelia,coerulea,,skyblue phacelia,,a,H,y,C3,a,f
PHCR,Hydrophyllaceae,Phacelia,crenulata,var. corrugata,cleafleaf wildheliotrope,,a,H,y,C3,a,f
PHHE4,Solanaceae,Physalis,hederifolia,,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f
PHHEF,Solanaceae,Physalis,hederifolia,var. fendleri,Fendler's groundcherry,C3,p,ss/H,y,C3,p,f
PHHEH2,Solanaceae,Physalis,hederifolia,var. hederifolia,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f
PHIN,Hydrophyllaceae,Phacelia,integrifolia,,gypsum phacelia,,abp,H,y,C3,p,f
PHINI5,Hydrophyllaceae,Phacelia,integrifolia,var. integrifolia,gypsum phacelia,,abp,H,y,C3,p,f
PHJU,Viscaceae,Phoradendron,juniperinum,,juniper mistletoe,,p,S/ss/sp,y,C3,p,s
PHLO15,Portulacaceae,Phemeranthus,longipes,,pink fameflower,,p,H,y,NA,p,f
PHLOL3,Solanaceae,Physalis,longifolia,var. longifolia,longleaf groundcherry,C3,p,H,y,C3,p,f
PHPA29,Portulacaceae,Phemeranthus,parviflorus,,sunbright,C3,p,ss/H,y,NA,p,f
PIED,Pinaceae,Pinus,edulis,,twoneedle pinyon,C3,p,T,y,C3,p,t
PLJA,Poaceae,Pleuraphis,jamesii,,James' galleta,,p,G,y,C4,p,g
PLMA2,Plantaginaceae,Plantago,major,,common plaintain,,p,H,y,C3,p,f
PLPA2,Plantaginaceae,Plantago,patagonica,,woolly plantain,C3,a,H,y,C3,a,f
POAL4,Polygalaceae,Polygala,alba,,white milkwort,,p,H,y,C3,p,f
POBI,Poaceae,Poa,bigelovii,,Bigelow's bluegrass,C3,a,G,y,C3,a,g
PODO3,Capparaceae,Polanisia,dodecandra,,redwhisker clammyweed,C3,a,H,y,C3,a,f
PODOR,Capparaceae,Polanisia,dodecandra,subsp. riograndensis,Rio Grande clammyweed,C3,a,H,y,C3,a,f
PODOT,Capparaceae,Polanisia,dodecandra,subsp. trachysperma,sandyseed clammyweed,C3,a,H,y,C3,a,f
POFE,Poaceae,Poa,fendleriana,,muttongrass,C3,p,G,y,C3,p,g
POFEF,Poaceae,Poa,fendleriana,subsp. fendleriana,muttongrass,C3,p,G,y,C3,p,g
POFEL,Poaceae,Poa,fendleriana,subsp. longiligula,muttongrass,,p,G,y,C3,p,g
POFR2,Salicaceae,Populus,fremontii,,Fremont cottonwood,,p,T ,y,C3,p,t
POHA5,Portulacaceae,Portulaca,halimoides,,silkcotton purslane,C4,a,H/su,y,C4,a,f
POJA5,Fabaceae,Pomaria,jamesii,,James' holdback,,p,ss/H,y,C3,p,f
POLA4,Polygonaceae,Polygonum,lapathifolia,,curlytop knotweed,C3,a,H,n,C3,a,f
POMO5,Poaceae,Polypogon,monspeliensis,,annual rabbitsfoot grass,C3,a,G,n,C3,a,g
POOL,Portulacaceae,Portulaca,oleracea,,little hogweed,,a,H/su,y,C4,a,f
POUN3,Capparaceae,Polanisia,uniglandulosa,,Mexican clammyweed,C3,ap,H,y,C3,p,f
POVI9,Poaceae,Polypogon,viridis,,beardless rabbitsfoot grass,,p,G,n,C3,p,g
PRGL2,Fabaceae,Prosopis,glandulosa,,honey mesquite,C3,p,T/S,y,C3,p,t
PRGLT,Fabaceae,Prosopis,glandulosa,var. torreyana,western honey mesquite,C3,p,T/S,y,C3,p,t
PRPA2,Pedaliaceae,Proboscidea,parviflora,,doubleclaw,C3,a,H,y,C3,a,f
PRPAP3,Pedaliaceae,Proboscidea,parviflora,subsp. parviflora,devil's claw,C3,a,H,y,C3,a,f
PRSA2,Pedaliaceae,Proboscidea,sabulosa,,sanddune unicorn-plant,C3,a,H,n,C3,a,f
PRVI,Rosaceae,Prunus,virginiana,,chokecherry,C3,p,T/S,y,C3,p,t
PRVIM,Rosaceae,Prunus,virginiana,var. melanocarpa,black chokecherry,C3,p,T/S,y,C3,p,t
PSAS2,Asteraceae,Psilactis,asteroides,,New Mexico tansyaster,,abp,H,y,NA,p,f
PSLA3,Fabaceae,Psoralidium,lanceolatum,,salty popcornflower,,p,H,y,C3,p,f
PSSC6,Fabaceae,Psorothamnus,scoparius,,broom dalea,,p,S/ss,y,C3,p,s
PSSP,Asteraceae,Psilostrophe,sparsiflora,,greenstem paperflower,,p,ss/H,y,C3,p,f
PSSPI,Poaceae,Pseudoroegneria,spicata,var. inermis,beardless wheatgrass,,p,G,y,NA,p,g
PSSPS,Poaceae,Pseudoroegneria,spicata,subsp. spicata,bluebunch wheatgrass,,p,G,y,NA,p,g
PSTA,Asteraceae,Psilostrophe,tagetina,,woolly paperflower,,p,H,y,NA,p,f
PSTAT,Asteraceae,Psilostrophe,tagetina,var. tagetina,woolly paperflower,,p,H,y,C3,p,f
PTTRA,Rutaceae,Ptelea,trifoliata,subsp. angustifolia ,common hoptree,,p,T/S,y,C3,p,t
QUTU2,Fagaceae,Quercus,turbinella,,Sonoran scrub oak,C3,p,T/S,y,C3,p,t
RACO3,Asteraceae,Ratibida,columnifera,,upright prairie coneflower,,p,H,y,C3,p,f
RARA2,Brassicaceae,Raphanus,raphanistrum,,wild radish,,ab,H,n,C3,a ,f
RATA,Asteraceae,Ratibida,tagetes,,green prairie coneflower,,p,H,y,C3,p,f
REAR,Euphorbiaceae,Reverchonia,arenaria,,sand reverchonia,C3,a,H,y,C3,a,f
RHMI3,Anacardiaceae,Rhus,microphylla,,littleleaf sumac,C3,p,S/T,y,C3,p,s
RHTR,Anacardiaceae,Rhus,trilobata,,skunkbush sumac,C3,p,S,y,C3,p,s
RHTRP,Anacardiaceae,Rhus,trilobata,var. pilosissima,pubescent squawbush,C3,p,S,y,C3,p,s
RILE,Grossulariaceae,Ribes,leptanthum,,trumpet gooseberry,,p,S,y,C3,p,s
ROIS2,Brassicaceae,Rorippa,islandica,,northern marsh yellowcress,,ab,H,n,C3,a ,f
ROPA2,Brassicaceae,Rorippa,palustris,,bog yellowcress,,abp,H,y,C3,p,f
RUAL4,Polygonaceae,Rumex,altissimus,,pale dock,C3,p,H,y,C3,p,f
RUCR,Polygonaceae,Rumex,crispus,,curly dock,C3,p,H,y,C3,p,f
RUSAM,Polygonaceae,Rumex,salicifolius,var. mexicanus,Mexican dock,C3,p,H,y,C3,p,f
SAAB,Asteraceae,Sanvitalia,abertii,,Albert's creeping zinnia,,a,H,y,C3,a,f
SACU,Alismaceae,Sagittaria,cuneata,,arumleaf arrowhead,,p,H,y,C3,p,f
SAEX,Salicaceae,Salix,exigua,,narrowleaf willow,C3,p,T/S,y,C3,p,t
SAFL5,Asteraceae,Sartwellia,flaveriae,,threadleaf glowwart,,p,H,y,C3,p,f
SAGO,Salicaceae,Salix,gooddingii,,Goodding's willow,C3,p,T,y,C3,p,t
SAHE3,Lamiaceae,Salvia,henryi,,crimson sage,,p,H,y,C3,p,f
SAKA,Chenopodiaceae,Salsola,kali,,Russian thistle,C4,a,H,n,C4,a,f
SASU7,Lamiaceae,Salvia,subincisa,,sawtooth sage,,a,H,y,C3,a,f
SATR12,Chenopodiaceae,Salsola,tragus,,prickly Russian thistle,,a,H,n,C4,a,f
SCAM6,Cyperaceae,Schoenoplectus,americanus,,chairmaker's bulrush,,p,G,y,NA,p,g
SCBR2,Poaceae,Scleropogon,brevifolius,,burrograss,C4,p,G,y,C4,p,g
SCLI,Brassicaceae,Schoenocrambe,linifolia,,flaxleaf plainsmustard,,p,H,y,C3,p,f
SCLI12,Brassicaceae,Schoenocrambe,linearifolia,,slimleaf plainsmustard,,p,ss/H,y,C3,p,f
SCMU6,Asteraceae,Schkuhria,multiflora,,manyflower false threadleaf,,a,H,y,C3,a,f
SCPA10,Cactaceae,Sclerocactus,papyracanthus,,paperspine fishhook cactus,CAM,p,S/su,y,CAM,p,s
SCSAH,Poaceae,Schizachyrium,sanguineum,var. hirtiflorum,crimson bluestem,,p,G,y,C4,p,g
SCSC,Poaceae,Schizachyrium,scoparium,,little bluestem,,p,G,y,C4,p,g
SEBA3,Fabaceae,Senna,bauhinioides,,twinleaf senna,C3,p,ss/H,y,C3,p,f
SEDI3,Nyctaginaceae,Selinocarpus,diffusus,,,,p,S/ss/H,y,C3,p,s
SEFL3,Asteraceae,Senecio,flaccidus,,threadleaf ragwort,C3,p,ss/H,y,NA,p,f
SEFLD,Asteraceae,Senecio,flaccidus,var. douglasii,Douglas' ragwort,C3,p,ss/H,y,NA,p,f
SEFLF,Asteraceae,Senecio,flaccidus,var. flaccidus,threadleaf ragwort,C3,p,ss/H,y,C3,p,f
SELA3,Nyctaginaceae,Selinocarpus,lanceolatus,,lanceleaf moonpod,,p,ss/H,y,C3,p,f
SELE6,Poaceae,Setaria,leucopila,,streambed bristlegrass,,p,G,y,NA,p,g
SEMA5,Poaceae,Setaria,macrostachya,,large-spike bristlegrass,C4,p,G,y,C4,p,g
SEMUM,Selaginellaceae,Selaginella,mutica,var. mutica,bluntleaf spikemoss,,p,H,y,C3,p,f
SEPU8,Poaceae,Setaria,pumila,,yellow foxtail,,a,G,n,NA,a,g
SESPM,Asteraceae,Senecio,spartoides,var. multicapitatus,broom-like ragwort,C3,p,ss/H,y,NA,p,f
SEUN,Selaginellaceae,Selaginella,underwoodii,,Underwood's spikemoss,,p,H,y,C3,p,f
SEVI4,Poaceae,Setaria,viridis,,green bristlegrass,C4,a,G,y,C4,a,g
SIAL2,Brassicaceae,Sisymbrium,altissimum,,,,ab,H,n,C3,a ,f
SIAN2,Caryophyllaceae,Silene,antirrhina,,sleepy silene,C3,a,H,y,C3,a,f
SIIR,Brassicaceae,Sisymbrium,irio,,London rocket,,a,H,n,C3,a,f
SIPL,Caryophyllaceae,Silene,plankii,,Plank's catchfly,C3,p,H,y,C3,p,f
SOAS,Asteraceae,Sonchus,asper,,spiny sowthistle,,a,H,n,C3,a,f
SOCAG,Asteraceae,Solidago,canadensis,var. gilvocanescens,shorthair goldenrod,,p,H,y,NA,p,f
SOEL,Solanaceae,Solanum,elaeagnifolium,,silverleaf nightshade,C3,p,ss/H,y,C3,p,f
SOHA,Poaceae,Sorghum,halepense,,Johnsongrass,C4,p,G,n,C4,p,g
SOHE,Solanaceae,Solanum,heterodoxum,,melonleaf nightshade,C3,a,H,y,C3,a,f
SOJA,Solanaceae,Solanum,jamesii,,,C3,p,H,y,C3,p,f
SONU,Fabaceae,Sophora,nuttalliana,,silky sophora,,p,H,y,C3,p,f
SOVE6,Asteraceae,Solidago,velutina,,threenerve goldenrod,C3,p,ss/H,y,C3,p,f
SPAI,Poaceae,Sporobolus,airoides,,alkali sacaton,C4,p,G,y,C4,p,g
SPCO4,Poaceae,Sporobolus,contractus,,spike dropseed,C4,p,G,y,C4,p,g
SPCOC,Malvaceae,Sphaeralcea,coccinea,subsp. coccinea,scalet globemallow,,bp,ss/H,y,C3,p,f
SPCOE,Malvaceae,Sphaeralcea,coccinea,subsp. elata,scarlet globemallow,,bp,ss/H,y,C3,p,f
SPCR,Poaceae,Sporobolus,cryptandrus,,sand dropseed,C4,p,G,y,C4,p,g
SPDI3,Malvaceae,Sphaeralcea,digitata,,juniper globemallow,,p,ss/H,y,C3,p,f
SPDID,Malvaceae,Sphaeralcea,digitata,subsp. digitata,juniper globemallow,,p,ss/H,y,C3,p,f
SPFE,Malvaceae,Sphaeralcea,fendleri,,Fendler's globemallow,,p,ss/H,y,C3,p,f
SPFEF,Malvaceae,Sphaeralcea,fendleri,subsp. fendleri,Fendler's globemallow,,p,ss/H,y,C3,p,f
SPFL2,Poaceae,Sporobolus,flexuosus,,mesa dropseed,C4,p,G,y,C4,p,g
SPGI,Poaceae,Sporobolus,giganteus,,giant dropseed,C4,p,G,y,C4,p,g
SPGRP2,Malvaceae,Sphaeralcea,grossulariifolia,subsp. pedata,gooseberryleaf globemallow,,p,ss/H,y,C3,p,f
SPHA,Malvaceae,Sphaeralcea,hastulata,,spear globemallow,,p,ss/H,y,C3,p,f
SPIN2,Malvaceae,Sphaeralcea,incana,,gray globemallow,,p,ss/H,y,C3,p,f
SPLA,Malvaceae,Sphaeralcea,laxa,,caliche globemallow,,p,ss/H,y,C3,p,f
SPLE,Malvaceae,Sphaeralcea,leptophylla,,scaly globemallow,,p,ss/H,y,C3,p,f
SPNE,Poaceae,Sporobolus,nealleyi,,gyp dropseed,C4,p,G,y,C4,p,g
SPORO,Poaceae,Sporobolus,sp.,,dropseed,C4,p,G,y,C4,p,g
SPPO6,Malvaceae,Sphaeralcea,polychroma,,hot springs globemallow,,p,ss/H,y,C3,p,f
SPPR3,Malvaceae,Sphaeralcea,procera,,Luna County globemallow,,p,ss/H,y,C3,p,f
SPWR,Malvaceae,Sphaeralcea,wrightii,,Wright's globemallow,,p,ss/H,y,C3,p,f
SPWR2,Poaceae,Sporobolus,wrightii,,big sacaton,C4,p,G,y,C4,p,g
STCAC,Brassicaceae,Streptanthus,carinatus,subsp. carinatus,lyreleaf jewelflower,,ab,H,y,C3,a ,f
STLO,Caryophyllaceae,Stellaria,longifolia,,longleaf starwort,,p,H,y,C3,p,f
STMIM,Asteraceae,Stephanomeria,minor,var. minor,narrowleaf wirelettuce,,p,ss/H,y,NA,p,f
STPA4,Asteraceae,Stephanomeria,pauciflora,,brownplume wirelettuce,C3,p,ss/H,y,C3,p,f
SUMO,Chenopodiaceae,Suaeda,moquinii,,Mojave seablite,,p,S/ss/H,y,NA,p,s
SUSU,Chenopodiaceae,Suaeda,suffrutescens,,desert seepweed,,p,S/ss/H,y,C4,p,s
SYDI2,Asteraceae,Symphyotrichum,divaricatum,,southern annual saltmarsh aster,C3,ab,H,y,NA,a ,f
SYFAC,Asteraceae,Symphyotrichum,falcatum,var. commutatum,white prairie aster,C3,p,H,y,NA,p,f
SYLAH6,Asteraceae,Symphyotrichum,lanceolatum,subsp. hesperium var. hesperium,white panicle aster,C3,p,H,y,NA,p,f
SYPA,Caprifoliaceae,Symphoricarpos,palmeri,,Palmer's snowberry,,p,S,y,C3,p,s
SYPRP,Asteraceae,Symphyotrichum,praealtum,var. praealtum,willowleaf aster,,p,H,y,NA,p,f
SYRO,Caprifoliaceae,Symphoricarpos,rotundifolius,,roundleaf snowberry,,p,S,y,C3,p,s
TACH2,Tamaricaceae,Tamarix,chinensis,,five-stamen tamarisk,,p,T/S,n,C3,p,t
TARA,Tamaricaceae,Tamarix,ramosissima,,saltcedar,,p,T/S,n,C3,p,t
TEAR4,Asteraceae,Tetraneuris,argentea,,perkysue,,p,H,y,C3,p,f
TECO,Verbenaceae,Tetraclea,coulteri,,Coulter's wrinklefruit,,p,ss/H,y,C3,p,f
TELA,Lamiaceae,Teucrium,laciniatum,,lacy germander,,p,H,y,C3,p,f
THAC,Asteraceae,Thymophylla,acerosa,,pricklyleaf dogweed,C3,p,ss/H,y,C3,p,f
THFE,Ranunculaceae,Thalictrum,fendleri,,Fendler's meadow-rue,,p,H,y,C3,p,f
THLO,Asteraceae,Thelesperma,longipes,,longstalk greenthread,,p,ss/H,y,C3,p,f
THME,Asteraceae,Thelesperma,megapotamicum,,Hopi tea greenthread,,p,H,y,C3,p,f
THPEB,Asteraceae,Thymophylla,pentachaeta,var. belenidium,fiveneedle pricklyleaf,,p,ss/H,y,NA,p,f
THPU3,Brassicaceae,Thelypodiopsis,purpusii,,Purpus' tumblemustard,,b,H,y,C3,a,f
THWR,Brassicaceae,Thelypodium,wrightii,,Wright's thelypody,,bp,H,y,C3,p,f
TICA3,Boraginaceae,Tiquilia,canescens,,woody crinklemat,,p,ss,y,C3,p,s
TICAC,Boraginaceae,Tiquilia,canescens,var. canescens,woody crinklemat,,p,ss ,y,NA,p,s
TIHI,Boraginaceae,Tiquilia,hispidissima,,hairy crinklemat,,p,ss,y,C3,p,s
TILA2,Amaranthaceae,Tidestromia,lanuginosa,,wooly tidestromia,C4,a,H,y,C4,a,f
TOAN,Asteraceae,Townsendia,annua,,annual Townsend daisy,,a,H,y,C3,a,f
TOEX,Asteraceae,Townsendia,eximia,,tall Townsend daisy,,p,H,y,C3,p,f
TOEX2,Asteraceae,Townsendia,exscapa,,stemless Townsend daisy,,p,H,y,C3,p,f
TRAE,Poaceae,Triticum,aestivum,,common wheat,C3,a,G,n,C3,a,g
TRBE,Poaceae,Tragus,berteronianus,,spiked bur grass,,a,G,y,C3,a,g
TRCAW2,Nyctaginaceae,Tripterocalyx,carneus,var. wootonii,Wooton's sandpuffs,,a,H,y,C3,a,f
TRDU,Asteraceae,Tragopogon,dubius,,yellow salsify,C3,ab,H,n,C3,a ,f
TRMA20,Juncaginaceae,Triglochin,maritimum,,seaside arrowgrass,,p,G,y,NA,p,g
TRMI6,Nyctaginaceae,Tripterocalyx,micranthus,,smallflower sandverbena,,a,H,y,C3,a,f
TRMU,Poaceae,Tridens,muticus,,slim tridens,,p,G,y,C4,p,g
TRMUE,Poaceae,Tridens,muticus,var. elongatus,slim tridens,,p,G,y,C4,p,g
TRPI,Commelinaceae,Tradescantia,pinetorum,,pinewoods spiderwort,,p,H,y,C3,p,f
TRPO2,Aizoaceae,Trianthema,portulacastrum,,desert horsepurslane,,ap,H/su,y,C4,p,f
TRRA,Poaceae,Tragus,racemosus,,stalked bur grass,,a,G,y,C3,a,g
TRRA5,Euphorbiaceae,Tragia,ramosa,,branched noseburn,C3,p,V/S/ss/H,y,C3,p,f
TRTE,Zygophyllaceae,Tribulus,terrestris,,punturevine,C4,a,H,n,C4,a,f
TYDO,Typhaceae,Typha,domingensis,,southern cattail,,p,H,n,NA,p,f
TYLA,Typhaceae,Typha,latifolia,,broadleaf cattail,,p,H,n,NA,p,f
VEAN2,Scrophulariaceae,Veronica,anagallis-aquatica,,water speedwell,,bp,H,y,C3,p,f
VEBR,Verbenaceae,Verbena,bracteata,,bigbract verbena,C3,abp,H,y,C3,p,f
VEEN,Asteraceae,Verbesina,encelioides,,golden crownbeard,C3,a,H,y,NA,a,f
VEENE2,Asteraceae,Verbesina,encelioides,subsp. exauriculata,golden crownbeard,C3,a,H,y,C3,a,f
VEENE3,Asteraceae,Verbesina,encelioides,subsp. encelioides,golden crownbeard,C3,a,H,y,C3,a,f
VENEH,Verbenaceae,Verbena,neomexicana,var. hirtella,hillside vervain,,p,H,y,C3,p,f
VIAR2,Vitaceae,Vitis,arizonica,,canyon grape,,p,WV,y,C3,p,s
VIDE3,Asteraceae,Viguiera,dentata,,toothleaf goldeneye,,p,ss/H,y,C3,p,f
VILUL2,Fabaceae,Vicia,ludoviciana,subsp. ludoviciana,Lousiana vetch,,a,V/H,y,C3,a,f
VINE,,unk vine,unk vine,,unk vine,,p,V,y,C3,p,s
VUOC,Poaceae,Vulpia,octoflora,var. glauca,sixweeks fescue,C3,a,G,y,C3,a,g
WONE,Dryopteridaceae,Woodsia,neomexicana,,New Mexico cliff fern,,p,H,y,C3,p,f
XASP2,Asteraceae,Xanthium,spinosum,,spiny cocklebur,C3,a,H,n,C3,a,f
XAST,Asteraceae,Xanthium,strumarium,,rough cocklebur,C3,a,H,y,NA,a,f
XASTC,Asteraceae,Xanthium,strumarium,var. canadense,Canada cocklebur,C3,a,H,y,C3,a,f
XASTG,Asteraceae,Xanthium,strumarium,var. glabratum,rough cocklebur,C3,a,H,y,NA,a,f
YUBA,Agavaceae,Yucca,baccata,,banana yucca,CAM,p,S/ss/H,y,CAM,p,s
YUBAI,Agavaceae,Yucca,baileyi,var. intermedia,intermediate yucca,,p,S/ss/H,y,CAM,p,s
YUEL,Agavaceae,Yucca,elata,,soaptree yucca,,p,S/ss/H,y,CAM,p,s
YUGL,Agavaceae,Yucca,glauca,,soapweed yucca,,p,S/ss/H,y,CAM,p,s
ZIGR,Asteraceae,Zinnia,grandiflora,,Rocky Mountain zinnia,C3,p,S/ss/H,y,C3,p,s
